teamId,playerId,playerName,Position,Age,Id
0,402855,Sekou Mara,FWD,0,242
0,415174,Tino Livramento,DEF,0,243
0,421974,Samuel Edozie,AM,0,244
18,422135,Kamaldeen Sulemana,AM,27,245
0,425319,Romeo Lavia,MID,0,246
18,454751,Dom Ballard,DEF,26,247
18,455537,Juan Larios,DEF,27,248
0,482895,Samuel Amo-Ameyaw,AM,0,249
0,86425,Nathan Redmond,AM,0,250
0,90780,Oriol Romeu,MID,0,251
18,92550,Jack Stephens,MID,31,252
0,93677,Stuart Armstrong,AM,0,253
183,115085,Emiliano Marcondes,AM,34,254
0,128882,Ryan Christie,AM,0,255
183,133190,Kieffer Moore,FWD,29,256
183,133464,Jefferson Lerma,MID,26,257
183,136456,Lewis Cook,MID,26,258
183,136459,Dominic Solanke,FWD,33,259
0,145277,Philip Billing,MID,0,260
183,231080,Jack Stacey,DEF,28,261
183,260784,Joe Rothwell,MID,28,262
183,295084,David Brooks,AM,34,263
183,302391,Ben Pearson,MID,25,264
183,328330,Marcos Senesi,DEF,26,265
183,332419,Lloyd Kelly,DEF,25,266
183,342842,Chris Mepham,DEF,19,267
0,342868,Siriki Dembele,AM,0,268
183,344314,Marcus Tavernier,AM,23,269
183,357073,Antoine Semenyo,AM,23,270
183,362126,Jamal Lowe,DEF,17,271
183,362551,Hamed Traore,MID,31,272
183,362806,Mark Travers,GK,36,273
183,397846,Matias Vina,DEF,20,274
183,399826,Illia Zabarnyi,DEF,28,275
183,400609,Jordan Zemura,DEF,21,276
183,400610,Jaidon Anthony,AM,26,277
183,422183,Dango Ouattara,AM,22,278
0,454743,Owen Bevan,DEF,0,279
183,69877,Adam Smith,DEF,32,280
183,69912,Junior Stanislas,AM,29,281
0,76202,Neto,GK,0,282
0,83554,Ryan Fredericks,DEF,0,283
183,92550,Jack Stephens,MID,33,284
189,101856,Christian Norgaard,MID,27,285
0,121123,Pontus Jansson,DEF,0,286
189,134240,Ivan Toney,FWD,31,287
0,229562,Rico Henry,DEF,0,288
189,276366,David Raya,GK,21,289
0,29026,Zanka,DEF,0,290
0,295964,Sergi Canos,MID,0,291
